word,definitionUrl,partOfSpeech,cefrLevel,americanPronUrl,britishPronUrl
adult,/definition/english/adult_2,adjective,a2,/media/english/us_pron/a/adu/adult/adult__us_2_rr.mp3,/media/english/uk_pron/a/adu/adult/adult__gb_3.mp3
adult,/definition/english/adult_1,noun,a1,/media/english/us_pron/a/adu/adult/adult__us_2_rr.mp3,/media/english/uk_pron/a/adu/adult/adult__gb_3.mp3
advance,/definition/english/advance_3,adjective,b2,/media/english/us_pron/a/adv/advan/advance__us_1.mp3,/media/english/uk_pron/a/adv/advan/advance__gb_1.mp3
advance,/definition/english/advance_1,noun,b2,/media/english/us_pron/a/adv/advan/advance__us_1.mp3,/media/english/uk_pron/a/adv/advan/advance__gb_1.mp3
advance,/definition/english/advance_2,verb,b2,/media/english/us_pron/a/adv/advan/advance__us_1.mp3,/media/english/uk_pron/a/adv/advan/advance__gb_1.mp3
advanced,/definition/english/advanced,adjective,b1,/media/english/us_pron/a/adv/advan/advanced__us_1.mp3,/media/english/uk_pron/a/adv/advan/advanced__gb_1.mp3
advantage,/definition/english/advantage_1,noun,a2,/media/english/us_pron/a/adv/advan/advantage__us_1.mp3,/media/english/uk_pron/a/adv/advan/advantage__gb_4.mp3
adventure,/definition/english/adventure,noun,a2,/media/english/us_pron/a/adv/adven/adventure__us_3.mp3,/media/english/uk_pron/a/adv/adven/adventure__gb_1.mp3
adverse,/definition/english/adverse,adjective,c1,/media/english/us_pron/a/adv/adver/adverse__us_2_rr.mp3,/media/english/uk_pron/a/adv/adver/adverse__gb_1.mp3
advertise,/definition/english/advertise,verb,a2,/media/english/us_pron/a/adv/adver/advertise__us_1.mp3,/media/english/uk_pron/a/adv/adver/advertise__gb_1.mp3
advertisement,/definition/english/advertisement,noun,a2,/media/english/us_pron/a/adv/adver/advertisement__us_2_rr.mp3,/media/english/uk_pron/a/adv/adver/advertisement__gb_1.mp3
advertising,/definition/english/advertising,noun,a2,/media/english/us_pron/a/adv/adver/advertising__us_1.mp3,/media/english/uk_pron/a/adv/adver/advertising__gb_1.mp3
advice,/definition/english/advice,noun,a1,/media/english/us_pron/a/adv/advic/advice__us_1.mp3,/media/english/uk_pron/a/adv/advic/advice__gb_1.mp3
advise,/definition/english/advise,verb,b1,/media/english/us_pron/a/adv/advis/advise__us_1.mp3,/media/english/uk_pron/a/adv/advis/advise__gb_2.mp3
advocate,/definition/english/advocate_1,noun,c1,/media/english/us_pron/a/adv/advoc/advocate__us_2.mp3,/media/english/uk_pron/a/adv/advoc/advocate__gb_2.mp3
advocate,/definition/english/advocate_2,verb,c1,/media/english/us_pron/a/adv/advoc/advocate__us_1.mp3,/media/english/uk_pron/a/adv/advoc/advocate__gb_4.mp3
aesthetic,/definition/english/aesthetic_1,adjective,c1,/media/english/us_pron/a/aes/aesth/aesthetic__us_1_rr.mp3,/media/english/uk_pron/a/aes/aesth/aesthetic__gb_1.mp3
affair,/definition/english/affair,noun,b2,/media/english/us_pron/a/aff/affai/affair__us_2.mp3,/media/english/uk_pron/a/aff/affai/affair__gb_1.mp3
affect,/definition/english/affect,verb,a2,/media/english/us_pron/a/aff/affec/affect__us_1.mp3,/media/english/uk_pron/a/aff/affec/affect__gb_3.mp3
affection,/definition/english/affection,noun,c1,/media/english/us_pron/a/aff/affec/affection__us_1.mp3,/media/english/uk_pron/a/aff/affec/affection__gb_1.mp3
afford,/definition/english/afford,verb,b1,/media/english/us_pron/a/aff/affor/afford__us_1.mp3,/media/english/uk_pron/a/aff/affor/afford__gb_1.mp3
affordable,/definition/english/affordable,adjective,b2,/media/english/us_pron/a/aff/affor/affordable__us_1.mp3,/media/english/uk_pron/a/aff/affor/affordable__gb_1.mp3
afraid,/definition/english/afraid,adjective,a1,/media/english/us_pron/a/afr/afrai/afraid__us_2.mp3,/media/english/uk_pron/a/afr/afrai/afraid__gb_1.mp3
after,/definition/english/after_3,adverb,a2,/media/english/us_pron/a/aft/after/after__us_2.mp3,/media/english/uk_pron/a/aft/after/after__gb_1.mp3
after,/definition/english/after_2,conjunction,a2,/media/english/us_pron/a/aft/after/after__us_2.mp3,/media/english/uk_pron/a/aft/after/after__gb_1.mp3
after,/definition/english/after_1,preposition,a1,/media/english/us_pron/a/aft/after/after__us_2.mp3,/media/english/uk_pron/a/aft/after/after__gb_1.mp3
aftermath,/definition/english/aftermath,noun,c1,/media/english/us_pron/a/aft/after/aftermath__us_1.mp3,/media/english/uk_pron/a/aft/after/aftermath__gb_1.mp3
afternoon,/definition/english/afternoon,noun,a1,/media/english/us_pron/a/aft/after/afternoon__us_2.mp3,/media/english/uk_pron/a/aft/after/afternoon__gb_1.mp3
afterwards,/definition/english/afterwards,adverb,b2,/media/english/us_pron/a/aft/after/afterwards__us_2.mp3,/media/english/uk_pron/a/aft/after/afterwards__gb_3.mp3
again,/definition/english/again,adverb,a1,/media/english/us_pron/a/aga/again/again__us_1.mp3,/media/english/uk_pron/a/aga/again/again__gb_1.mp3
against,/definition/english/against,preposition,a2,/media/english/us_pron/a/aga/again/against__us_1.mp3,/media/english/uk_pron/a/aga/again/against__gb_1.mp3
age,/definition/english/age_1,noun,a1,/media/english/us_pron/a/age/age__/age__us_1.mp3,/media/english/uk_pron/a/age/age__/age__gb_1.mp3
age,/definition/english/age_3,verb,b1,/media/english/us_pron/a/age/age__/age__us_1.mp3,/media/english/uk_pron/a/age/age__/age__gb_1.mp3
aged,/definition/english/aged,adjective,b1,/media/english/us_pron/a/age/aged_/aged__us_1.mp3,/media/english/uk_pron/a/age/aged_/aged__gb_1.mp3
